device_name_actual,school_name_official,gender,sch_psle,level
36719,Orchid Park Secondary School,99.0,3.0,1
36724,Orchid Park Secondary School,99.0,3.0,2
36730,Orchid Park Secondary School,99.0,3.0,1
36734,Orchid Park Secondary School,99.0,3.0,2
36737,Orchid Park Secondary School,99.0,3.0,1
36739,Orchid Park Secondary School,99.0,3.0,1
36743,Orchid Park Secondary School,99.0,3.0,1
36751,Orchid Park Secondary School,99.0,3.0,2
36758,Orchid Park Secondary School,99.0,3.0,2
36759,Orchid Park Secondary School,99.0,3.0,2
36769,Orchid Park Secondary School,99.0,3.0,2
36776,Orchid Park Secondary School,99.0,3.0,2
36781,Orchid Park Secondary School,99.0,3.0,2
36786,Orchid Park Secondary School,99.0,3.0,2
36791,Orchid Park Secondary School,99.0,3.0,2
36792,Orchid Park Secondary School,99.0,3.0,2
36802,Orchid Park Secondary School,99.0,3.0,2
36806,Orchid Park Secondary School,99.0,3.0,2
36808,Orchid Park Secondary School,99.0,3.0,2
36820,Orchid Park Secondary School,99.0,3.0,2
36828,Orchid Park Secondary School,99.0,3.0,2
36829,Orchid Park Secondary School,99.0,3.0,2
36841,Orchid Park Secondary School,99.0,3.0,2
36848,Orchid Park Secondary School,99.0,3.0,1
36850,Orchid Park Secondary School,99.0,3.0,2
36853,Orchid Park Secondary School,99.0,3.0,2
36861,Orchid Park Secondary School,99.0,3.0,2
36863,Orchid Park Secondary School,99.0,3.0,2
36868,Orchid Park Secondary School,99.0,3.0,2
36870,Orchid Park Secondary School,99.0,3.0,2
36872,Orchid Park Secondary School,99.0,3.0,2
36876,Orchid Park Secondary School,99.0,3.0,1
36884,Orchid Park Secondary School,99.0,3.0,2
36889,Orchid Park Secondary School,99.0,3.0,2
36894,Orchid Park Secondary School,99.0,3.0,2
36895,Orchid Park Secondary School,99.0,3.0,2
36896,Orchid Park Secondary School,99.0,3.0,2
36906,Orchid Park Secondary School,99.0,3.0,2
36908,Orchid Park Secondary School,99.0,3.0,2
36916,Orchid Park Secondary School,99.0,3.0,2
36932,Orchid Park Secondary School,99.0,3.0,1
36944,Orchid Park Secondary School,99.0,3.0,2
36953,Orchid Park Secondary School,99.0,3.0,1
36961,Orchid Park Secondary School,99.0,3.0,2
36977,Orchid Park Secondary School,99.0,3.0,2
36978,Orchid Park Secondary School,99.0,3.0,2
36986,Orchid Park Secondary School,99.0,3.0,2
36990,Orchid Park Secondary School,99.0,3.0,2
37017,Orchid Park Secondary School,99.0,3.0,1
37046,Orchid Park Secondary School,99.0,3.0,2
37057,Orchid Park Secondary School,99.0,3.0,2
37058,Orchid Park Secondary School,99.0,3.0,2
37072,Orchid Park Secondary School,99.0,3.0,1
37081,Orchid Park Secondary School,99.0,3.0,2
37115,Orchid Park Secondary School,99.0,3.0,2
37137,Orchid Park Secondary School,99.0,3.0,2
37155,Orchid Park Secondary School,99.0,3.0,2
37165,Orchid Park Secondary School,99.0,3.0,2
37239,Orchid Park Secondary School,99.0,3.0,1
37253,Orchid Park Secondary School,99.0,3.0,2
37254,Orchid Park Secondary School,99.0,3.0,2
37299,Orchid Park Secondary School,99.0,3.0,1
37321,Orchid Park Secondary School,99.0,3.0,2
37337,Orchid Park Secondary School,99.0,3.0,2
37370,Orchid Park Secondary School,99.0,3.0,1
37422,Orchid Park Secondary School,99.0,3.0,2
37431,Orchid Park Secondary School,99.0,3.0,2
37434,Orchid Park Secondary School,99.0,3.0,2
37445,Orchid Park Secondary School,99.0,3.0,2
37473,Orchid Park Secondary School,99.0,3.0,2
37474,Orchid Park Secondary School,99.0,3.0,2
37477,Orchid Park Secondary School,99.0,3.0,2
37485,Orchid Park Secondary School,99.0,3.0,2
37502,Orchid Park Secondary School,99.0,3.0,2
37503,Orchid Park Secondary School,99.0,3.0,2
37561,Orchid Park Secondary School,99.0,3.0,2
37652,Orchid Park Secondary School,99.0,3.0,2
37733,Orchid Park Secondary School,99.0,3.0,2
1822,Methodist Girls' School (Secondary),1.0,1.0,2
14682,Chung Cheng High School (Yishun),99.0,2.0,2
14694,Chung Cheng High School (Yishun),99.0,2.0,1
14696,Chung Cheng High School (Yishun),99.0,2.0,2
14699,Chung Cheng High School (Yishun),99.0,2.0,2
14710,Chung Cheng High School (Yishun),99.0,2.0,1
14713,Chung Cheng High School (Yishun),99.0,2.0,2
14718,Chung Cheng High School (Yishun),99.0,2.0,1
14720,Chung Cheng High School (Yishun),99.0,2.0,2
14721,Chung Cheng High School (Yishun),99.0,2.0,2
14725,Chung Cheng High School (Yishun),99.0,2.0,2
14726,Chung Cheng High School (Yishun),99.0,2.0,2
14727,Chung Cheng High School (Yishun),99.0,2.0,1
14728,Chung Cheng High School (Yishun),99.0,2.0,1
14729,Chung Cheng High School (Yishun),99.0,2.0,2
14732,Chung Cheng High School (Yishun),99.0,2.0,2
14733,Chung Cheng High School (Yishun),99.0,2.0,2
14737,Chung Cheng High School (Yishun),99.0,2.0,2
14738,Chung Cheng High School (Yishun),99.0,2.0,2
14739,Chung Cheng High School (Yishun),99.0,2.0,2
14750,Chung Cheng High School (Yishun),99.0,2.0,2
14757,Chung Cheng High School (Yishun),99.0,2.0,2
14758,Chung Cheng High School (Yishun),99.0,2.0,2
14760,Chung Cheng High School (Yishun),99.0,2.0,1
14770,Chung Cheng High School (Yishun),99.0,2.0,2
14772,Chung Cheng High School (Yishun),99.0,2.0,2
14774,Chung Cheng High School (Yishun),99.0,2.0,2
14776,Chung Cheng High School (Yishun),99.0,2.0,2
14778,Chung Cheng High School (Yishun),99.0,2.0,1
14780,Chung Cheng High School (Yishun),99.0,2.0,2
